iter	Passed	Remaining
0	3	317
1	5	291
2	8	277
3	10	261
4	13	265
5	16	261
6	19	256
7	22	257
8	25	259
9	28	259
10	31	254
11	33	244
12	36	243
13	38	234
14	39	226
15	41	218
16	43	211
17	44	203
18	46	196
19	47	189
20	49	184
21	51	182
22	52	176
23	53	170
24	55	165
25	57	163
26	58	158
27	59	153
28	60	148
29	61	144
30	62	140
31	64	136
32	67	136
33	69	133
34	72	133
35	74	131
36	75	128
37	77	125
38	78	122
39	79	119
40	82	118
41	82	114
42	84	111
43	85	109
44	87	107
45	88	104
46	90	101
47	91	98
48	92	96
49	93	93
50	94	91
51	97	90
52	99	88
53	101	86
54	101	83
55	103	81
56	105	79
57	106	77
58	108	75
59	109	72
60	111	71
61	114	70
62	116	68
63	117	65
64	118	63
65	119	61
66	120	59
67	121	57
68	122	55
69	124	53
70	125	51
71	128	49
72	129	47
73	130	45
74	131	43
75	133	42
76	134	40
77	135	38
78	136	36
79	137	34
80	138	32
81	140	30
82	142	29
83	143	27
84	144	25
85	145	23
86	147	21
87	148	20
88	149	18
89	150	16
90	151	15
91	152	13
92	154	11
93	155	9
94	157	8
95	159	6
96	160	4
97	161	3
98	162	1
99	163	0
